Main_Skill,Sub_Skills
AWS,"EC2, S3, Lambda, ECS, EKS, CloudFormation, IAM, Route 53, CloudWatch, CloudTrail, Glue, Athena, Redshift, API Gateway, RDS, DynamoDB, Step Functions, Elastic Beanstalk, Kinesis, SageMaker, Elastic Load Balancing, WAF, SNS, SQS, EFS, FSx, Batch, SSM, Systems Manager, Cost Explorer, Trusted Advisor, Inspector, Macie, AWS Organizations, AWS Config, Serverless Application Model (SAM), ECR, Secrets Manager, Transit Gateway, VPC Peering, Direct Connect, AWS Backup, Global Accelerator, CloudFront, EBS, Snapshots"
Azure,"Virtual Machines, Azure Blob Storage, Azure Functions, Azure App Service, AKS, Azure DevOps, Azure Data Factory, Azure Synapse Analytics, Azure Databricks, Cosmos DB, Azure SQL Database, Key Vault, Event Hub, Service Bus, Azure Monitor, Log Analytics, Application Insights, Azure Policy, Azure Blueprints, Azure Active Directory, Load Balancer, Traffic Manager, Azure Front Door, Blob Lifecycle Management, Azure Backup, Azure Site Recovery, Managed Disks, Azure ML, Data Lake Storage Gen2, Azure Purview, Container Instances, API Management, Bicep"
GCP,"Compute Engine, Cloud Storage, Cloud Functions, Cloud Run, GKE, BigQuery, Dataflow, Dataproc, Pub/Sub, Vertex AI, Firestore, Bigtable, Cloud Composer, Cloud SQL, AI Platform, Stackdriver, Cloud Build, Cloud Deploy, Cloud Monitoring, IAM, Cloud Spanner, Data Fusion, Looker, Cloud CDN, Operations (formerly Stackdriver), Cloud NAT, Cloud Memorystore, Filestore, Cloud Scheduler"
DevOps,"CI/CD, Jenkins, GitHub Actions, GitLab CI, Argo CD, CircleCI, Docker, Kubernetes, Helm, Terraform, Ansible, Puppet, Chef, Prometheus, Grafana, ELK Stack, Fluentd, Loki, Vault, Artifact Repositories (Nexus, Artifactory), Policy as Code, Security Scanning (Snyk, Clair), Blue-Green Deployments, Canary Releases, Rolling Updates, Autoscaling, Service Mesh (Istio)"
Infrastructure as Code,"Terraform, CloudFormation, ARM Templates, Bicep, Pulumi, Ansible, SaltStack, Helm Charts, State Management, Remote Backends, Module Design, Idempotency, Secret Management, Policy Enforcement"
Kubernetes & Containerization,"Docker, Kubernetes, Pods, Deployments, StatefulSets, DaemonSets, Ingress Controllers, Service Mesh, Helm, Kubectl, Operators, Kustomize, RBAC, Namespaces, Horizontal Pod Autoscaler, Vertical Pod Autoscaler, Persistent Volumes, CSI Drivers, Cluster Federation, Prometheus Integration, Container Security"
Monitoring & Observability,"Prometheus, Grafana, ELK (Elasticsearch, Logstash, Kibana), Datadog, New Relic, Application Insights, OpenTelemetry, Tracing (Jaeger), Metrics, Logs, Alerting, SLOs/SLIs, Distributed Tracing, Dashboards, Log Aggregation, Anomaly Detection, Synthetic Monitoring"
Machine Learning,"Supervised Learning, Unsupervised Learning, Regression (Linear, Ridge, Lasso, ElasticNet, Polynomial), Classification (Logistic, SVM, KNN, Naive Bayes), Ensemble Methods (Bagging, Boosting, RandomForest, XGBoost, LightGBM, CatBoost), Clustering (K-Means, DBSCAN, Agglomerative, MeanShift), Dimensionality Reduction (PCA, t-SNE, UMAP, LDA), Feature Engineering, Feature Selection (RFE, SelectKBest, Mutual Info), Cross-Validation (K-Fold, Stratified), Hyperparameter Tuning (GridSearch, RandomSearch, Bayesian Opt, Hyperopt, Optuna), Model Evaluation (RMSE, MAE, MAPE, AUC-ROC, Precision, Recall, F1, LogLoss), Imbalanced Data Techniques (SMOTE, Class Weights), Pipelines (sklearn Pipelines), Model Serialization (Pickle, Joblib, ONNX)"
Deep Learning,"Neural Networks (ANN), CNN (ResNet, EfficientNet, MobileNet), RNN, LSTM, GRU, Transformers, Attention Mechanisms, BERT, GPT family, T5, Seq2Seq, Autoencoders, Variational Autoencoders (VAE), GANs (DCGAN, StyleGAN), Transfer Learning, Fine-tuning, Batch Normalization, Layer Normalization, Dropout, Optimization (Adam, SGD), Loss Functions (CrossEntropy, MSE), Mixed Precision Training, Distributed Training (Horovod, DDP)"
Natural Language Processing,"Tokenization, Subword Tokenization (BPE, SentencePiece), lemmatization, stemming, Stopword Removal, Word Embeddings (Word2Vec, GloVe, FastText), Contextual Embeddings (ELMo, BERT, RoBERTa), Sentence Embeddings (SBERT), NER, POS Tagging, Dependency Parsing, Coreference Resolution, Text Classification, Topic Modeling (LDA, BERTopic), Summarization (Extractive, Abstractive), Question Answering, Machine Translation, Language Modeling, Evaluation (BLEU, ROUGE)"
